Student_ID,Class,Region,Maths_Score,Science_Score,English_Score,Overall_Percentage,App_Login_Count,Video_Completion_Rate,Attendance_Percentage,Homework_Completion (%),Test_Attempts_Per_Month,Parent_Involvement,Extra_Support_Classes,Fee_Status,Payment_Type,Installment_Regularity,Risk_Level
1001,9,Semi-Urban,43,47,45,45.0,6,26,47.0,27.0,1,Yes,Yes,Overdue,Installment,Delayed,High
1002,10,Semi-Urban,69,65,68,67.33333333333333,12,66,83.0,85.0,5,Yes,No,Pending,Full,On Time,Low
1003,8,Rural,95,97,90,94.0,26,79,99.0,74.0,7,No,No,Pending,Installment,Delayed,Low
1004,10,Urban,64,66,65,65.0,21,70,70.0,64.0,6,No,Yes,Paid,Full,On Time,Low
1005,10,Rural,85,88,83,85.33333333333333,16,84,81.0,91.0,3,Yes,No,Paid,Full,On Time,Low
1006,7,Urban,67,71,67,68.33333333333333,27,93,73.0,65.0,5,No,No,Paid,Full,Delayed,Low
1007,8,Urban,79,77,77,77.66666666666667,24,85,85.0,76.0,3,Yes,Yes,Paid,Full,On Time,Low
1008,8,Rural,77,72,81,76.66666666666667,11,76,73.0,96.0,6,Yes,No,Pending,Installment,On Time,Low
1009,8,Urban,83,85,83,83.66666666666667,22,84,99.0,53.0,4,Yes,Yes,Paid,Installment,On Time,Low
1010,10,Semi-Urban,91,86,91,89.33333333333333,13,83,95.0,62.0,3,Yes,No,Pending,Full,Delayed,Low
1011,9,Semi-Urban,64,66,65,65.0,10,58,60.0,60.0,7,Yes,No,Pending,Installment,On Time,Low
1012,8,Urban,81,76,85,80.66666666666667,24,88,95.0,70.0,4,Yes,No,Pending,Full,Delayed,Low
1013,10,Semi-Urban,76,79,80,78.33333333333333,32,71,70.0,91.0,6,Yes,Yes,Paid,Full,Delayed,Low
1015,9,Semi-Urban,67,62,67,65.33333333333333,27,97,77.0,71.0,7,No,Yes,Pending,Installment,On Time,Low
1016,7,Urban,53,51,57,53.66666666666666,31,82,73.0,55.0,5,Yes,No,Pending,Installment,On Time,Medium
1017,9,Rural,83,79,81,81.0,32,93,65.0,99.0,3,No,No,Paid,Installment,On Time,Low
1018,10,Semi-Urban,86,86,85,85.66666666666667,24,51,75.0,86.0,7,No,No,Paid,Installment,On Time,Low
1019,6,Rural,58,55,61,58.0,30,62,82.0,50.0,7,No,Yes,Paid,Full,On Time,Medium
1020,9,Urban,75,73,70,72.66666666666667,22,71,66.0,65.0,6,Yes,No,Paid,Full,On Time,Low
1021,7,Semi-Urban,88,84,86,86.0,34,63,98.0,99.0,7,Yes,Yes,Paid,Installment,On Time,Low
1022,10,Rural,77,74,74,75.0,22,51,78.0,85.0,4,Yes,No,Paid,Installment,Delayed,Low
1023,9,Rural,58,60,54,57.333333333333336,33,79,76.0,68.0,6,No,No,Pending,Full,On Time,Medium
1024,6,Semi-Urban,83,82,78,81.0,28,75,80.0,84.0,6,No,No,Paid,Installment,Delayed,Low
1025,6,Rural,86,86,85,85.66666666666667,12,54,80.0,92.0,7,Yes,No,Paid,Full,On Time,Low
1026,8,Rural,62,57,63,60.66666666666666,3,26,48.0,53.0,2,Yes,No,Overdue,Full,On Time,High
1027,8,Urban,68,65,64,65.66666666666667,18,52,87.0,59.0,7,Yes,No,Paid,Installment,On Time,Low
1028,7,Urban,72,75,69,72.0,31,56,63.0,61.0,5,No,No,Pending,Installment,On Time,Low
1029,9,Urban,64,62,64,63.333333333333336,24,69,81.0,70.0,6,Yes,Yes,Paid,Full,Delayed,Low
1030,9,Urban,73,71,70,71.33333333333333,28,52,69.0,61.0,7,Yes,No,Paid,Full,On Time,Low
1031,8,Urban,67,71,68,68.66666666666667,21,83,98.0,50.0,3,Yes,Yes,Paid,Full,On Time,Low
1032,9,Urban,95,92,90,92.33333333333331,34,55,78.0,94.0,6,Yes,Yes,Pending,Installment,On Time,Low
1033,9,Semi-Urban,78,79,73,76.66666666666667,23,81,85.0,97.0,6,Yes,Yes,Paid,Installment,On Time,Low
1035,8,Rural,59,61,54,58.0,14,87,61.0,51.0,3,Yes,No,Paid,Full,On Time,Medium
1036,10,Semi-Urban,95,96,90,93.66666666666669,18,74,81.0,95.0,3,No,Yes,Paid,Installment,On Time,Low
1037,8,Rural,66,62,61,63.0,24,59,96.0,64.0,3,No,No,Pending,Installment,On Time,Low
1038,10,Urban,58,62,54,58.0,17,74,62.0,85.0,5,No,Yes,Paid,Full,On Time,Medium
1039,6,Urban,75,74,74,74.33333333333333,11,76,80.0,58.0,4,Yes,Yes,Pending,Full,Delayed,Low
1040,7,Rural,55,56,52,54.333333333333336,34,62,86.0,53.0,6,No,No,Paid,Full,On Time,Medium
1041,9,Rural,84,87,86,85.66666666666667,21,74,75.0,97.0,3,No,Yes,Paid,Full,On Time,Low
1042,6,Rural,75,78,79,77.33333333333333,16,51,75.0,58.0,5,No,No,Pending,Installment,On Time,Low
1043,9,Semi-Urban,55,55,54,54.66666666666666,3,31,42.0,40.0,2,Yes,No,Overdue,Installment,On Time,High
1044,7,Urban,81,82,80,81.0,31,58,62.0,96.0,4,Yes,Yes,Paid,Installment,On Time,Low
1045,7,Rural,56,58,55,56.333333333333336,14,55,62.0,63.0,5,Yes,No,Pending,Full,On Time,Medium
1046,6,Urban,66,63,70,66.33333333333333,34,56,77.0,85.0,7,Yes,No,Paid,Installment,On Time,Low
1047,7,Rural,61,65,60,62.0,22,85,62.0,90.0,3,No,Yes,Pending,Full,On Time,Low
1048,10,Urban,95,95,96,95.33333333333331,15,60,87.0,90.0,3,Yes,No,Pending,Full,Delayed,Low
1049,7,Semi-Urban,76,75,75,75.33333333333333,30,68,81.0,82.0,6,Yes,No,Paid,Installment,Delayed,Low
1050,9,Urban,82,85,78,81.66666666666667,22,65,92.0,93.0,3,Yes,No,Paid,Full,On Time,Low
1051,9,Rural,86,90,87,87.66666666666667,31,81,74.0,86.0,3,Yes,No,Paid,Installment,On Time,Low
1052,9,Urban,85,84,86,85.0,31,89,99.0,96.0,6,Yes,Yes,Paid,Installment,On Time,Low
1053,9,Semi-Urban,86,88,83,85.66666666666667,12,85,77.0,96.0,3,Yes,No,Paid,Installment,Delayed,Low
1054,10,Semi-Urban,90,87,93,90.0,29,66,84.0,98.0,4,Yes,No,Pending,Full,Delayed,Low
1055,8,Urban,44,39,48,43.66666666666666,2,32,76.0,35.0,2,No,Yes,Overdue,Installment,On Time,High
1056,6,Rural,76,75,73,74.66666666666667,22,75,73.0,95.0,4,Yes,No,Paid,Installment,On Time,Low
1057,9,Semi-Urban,68,69,66,67.66666666666667,17,53,86.0,58.0,5,Yes,No,Paid,Installment,Delayed,Low
1058,7,Semi-Urban,72,71,73,72.0,24,74,98.0,67.0,6,Yes,Yes,Paid,Installment,Delayed,Low
1059,9,Urban,44,45,41,43.333333333333336,5,25,59.0,31.0,1,Yes,No,Overdue,Installment,On Time,High
1060,7,Semi-Urban,88,87,84,86.33333333333333,24,74,84.0,70.0,4,Yes,No,Paid,Full,On Time,Low
1061,7,Semi-Urban,55,54,54,54.333333333333336,33,56,78.0,61.0,3,Yes,Yes,Paid,Installment,On Time,Medium
1062,9,Rural,91,93,93,92.33333333333331,20,82,98.0,98.0,3,Yes,Yes,Paid,Installment,On Time,Low
1063,10,Rural,75,73,78,75.33333333333333,11,60,98.0,65.0,7,Yes,Yes,Paid,Installment,On Time,Low
1064,7,Rural,77,77,76,76.66666666666667,11,55,99.0,85.0,6,Yes,No,Paid,Installment,On Time,Low
1065,7,Urban,77,72,76,75.0,14,54,81.0,67.0,5,Yes,No,Paid,Full,Delayed,Low
1066,9,Semi-Urban,72,72,69,71.0,29,60,67.0,70.0,7,Yes,No,Paid,Full,Delayed,Low
1067,7,Urban,80,77,77,78.0,28,68,84.0,51.0,4,Yes,No,Paid,Installment,Delayed,Low
