student_id,name,class,board
1,Student_1,10,CBSE
2,Student_2,9,CBSE
3,Student_3,9,SSC
4,Student_4,9,CBSE
5,Student_5,10,CBSE
6,Student_6,9,CBSE
7,Student_7,9,CBSE
8,Student_8,10,SSC
9,Student_9,10,CBSE
10,Student_10,10,SSC
11,Student_11,9,CBSE
12,Student_12,9,SSC
13,Student_13,10,CBSE
14,Student_14,9,CBSE
15,Student_15,9,SSC
16,Student_16,9,SSC
17,Student_17,10,CBSE
18,Student_18,9,SSC
19,Student_19,9,CBSE
20,Student_20,9,SSC
21,Student_21,9,SSC
22,Student_22,10,CBSE
23,Student_23,9,CBSE
24,Student_24,10,SSC
25,Student_25,9,SSC
26,Student_26,10,SSC
27,Student_27,9,CBSE
28,Student_28,10,SSC
29,Student_29,9,CBSE
30,Student_30,9,CBSE
31,Student_31,9,CBSE
32,Student_32,9,CBSE
33,Student_33,9,CBSE
34,Student_34,10,SSC
35,Student_35,10,CBSE
36,Student_36,10,SSC
37,Student_37,9,CBSE
38,Student_38,10,CBSE
39,Student_39,9,CBSE
40,Student_40,10,SSC
41,Student_41,9,CBSE
42,Student_42,10,CBSE
43,Student_43,9,CBSE
44,Student_44,9,SSC
45,Student_45,9,SSC
46,Student_46,9,CBSE
47,Student_47,9,SSC
48,Student_48,10,SSC
49,Student_49,9,SSC
50,Student_50,10,CBSE
51,Student_51,9,CBSE
52,Student_52,9,SSC
53,Student_53,9,SSC
54,Student_54,9,SSC
55,Student_55,9,CBSE
56,Student_56,10,CBSE
57,Student_57,10,SSC
58,Student_58,10,SSC
59,Student_59,10,SSC
60,Student_60,10,SSC
61,Student_61,9,SSC
62,Student_62,9,SSC
63,Student_63,10,SSC
64,Student_64,10,SSC
65,Student_65,9,CBSE
66,Student_66,9,SSC
67,Student_67,9,SSC
68,Student_68,9,CBSE
69,Student_69,9,CBSE
70,Student_70,9,CBSE
71,Student_71,10,CBSE
72,Student_72,9,CBSE
73,Student_73,9,CBSE
74,Student_74,9,CBSE
75,Student_75,10,CBSE
76,Student_76,9,SSC
77,Student_77,9,SSC
78,Student_78,10,CBSE
79,Student_79,10,CBSE
80,Student_80,9,CBSE
81,Student_81,9,SSC
82,Student_82,10,SSC
83,Student_83,9,CBSE
84,Student_84,9,SSC
85,Student_85,10,CBSE
86,Student_86,10,SSC
87,Student_87,9,CBSE
88,Student_88,9,SSC
89,Student_89,9,SSC
90,Student_90,9,CBSE
91,Student_91,10,CBSE
92,Student_92,10,CBSE
93,Student_93,9,CBSE
94,Student_94,9,CBSE
95,Student_95,9,SSC
96,Student_96,10,CBSE
97,Student_97,9,SSC
98,Student_98,10,SSC
99,Student_99,10,CBSE
100,Student_100,9,SSC
101,Student_101,10,SSC
102,Student_102,10,CBSE
103,Student_103,10,SSC
104,Student_104,9,SSC
105,Student_105,9,CBSE
106,Student_106,9,CBSE
107,Student_107,10,CBSE
108,Student_108,9,CBSE
109,Student_109,10,SSC
110,Student_110,10,CBSE
111,Student_111,9,CBSE
112,Student_112,10,SSC
113,Student_113,10,CBSE
114,Student_114,9,CBSE
115,Student_115,10,SSC
116,Student_116,10,SSC
117,Student_117,9,SSC
118,Student_118,9,CBSE
119,Student_119,9,SSC
120,Student_120,9,SSC
121,Student_121,9,SSC
122,Student_122,9,SSC
123,Student_123,9,SSC
124,Student_124,9,SSC
125,Student_125,10,CBSE
126,Student_126,10,SSC
127,Student_127,10,CBSE
128,Student_128,10,SSC
129,Student_129,10,CBSE
130,Student_130,10,SSC
131,Student_131,10,SSC
132,Student_132,10,SSC
133,Student_133,9,SSC
134,Student_134,9,CBSE
135,Student_135,10,SSC
136,Student_136,10,SSC
137,Student_137,10,SSC
138,Student_138,10,CBSE
139,Student_139,9,SSC
140,Student_140,9,SSC
141,Student_141,10,SSC
142,Student_142,9,SSC
143,Student_143,9,CBSE
144,Student_144,9,SSC
145,Student_145,9,CBSE
146,Student_146,9,CBSE
147,Student_147,10,CBSE
148,Student_148,10,CBSE
149,Student_149,9,SSC
150,Student_150,9,SSC
151,Student_151,9,SSC
152,Student_152,10,SSC
153,Student_153,9,CBSE
154,Student_154,10,SSC
155,Student_155,10,SSC
156,Student_156,9,CBSE
157,Student_157,10,SSC
158,Student_158,10,CBSE
159,Student_159,9,SSC
160,Student_160,10,SSC
161,Student_161,10,CBSE
162,Student_162,10,CBSE
163,Student_163,10,CBSE
164,Student_164,9,SSC
165,Student_165,10,CBSE
166,Student_166,9,CBSE
167,Student_167,10,SSC
168,Student_168,10,CBSE
169,Student_169,10,CBSE
170,Student_170,9,SSC
171,Student_171,9,SSC
172,Student_172,9,SSC
173,Student_173,9,CBSE
174,Student_174,9,SSC
175,Student_175,10,CBSE
176,Student_176,9,SSC
177,Student_177,9,SSC
178,Student_178,9,SSC
179,Student_179,10,SSC
180,Student_180,10,CBSE
181,Student_181,9,SSC
182,Student_182,10,CBSE
183,Student_183,9,SSC
184,Student_184,9,SSC
185,Student_185,9,SSC
186,Student_186,10,CBSE
187,Student_187,10,CBSE
188,Student_188,10,CBSE
189,Student_189,9,CBSE
190,Student_190,9,CBSE
191,Student_191,10,SSC
192,Student_192,10,SSC
193,Student_193,10,CBSE
194,Student_194,10,SSC
195,Student_195,9,SSC
196,Student_196,10,CBSE
197,Student_197,10,CBSE
198,Student_198,9,SSC
199,Student_199,10,CBSE
200,Student_200,10,CBSE
201,Student_201,10,SSC
202,Student_202,9,CBSE
203,Student_203,10,SSC
204,Student_204,10,SSC
205,Student_205,10,CBSE
206,Student_206,9,CBSE
207,Student_207,10,CBSE
208,Student_208,9,SSC
209,Student_209,9,SSC
210,Student_210,10,SSC
211,Student_211,9,CBSE
212,Student_212,10,SSC
213,Student_213,10,SSC
214,Student_214,10,CBSE
215,Student_215,9,CBSE
216,Student_216,10,SSC
217,Student_217,10,SSC
218,Student_218,10,CBSE
219,Student_219,9,SSC
220,Student_220,10,SSC
221,Student_221,10,SSC
222,Student_222,9,SSC
223,Student_223,9,SSC
224,Student_224,9,CBSE
225,Student_225,9,SSC
226,Student_226,9,SSC
227,Student_227,10,CBSE
228,Student_228,10,SSC
229,Student_229,10,CBSE
230,Student_230,10,SSC
231,Student_231,10,CBSE
232,Student_232,9,SSC
233,Student_233,9,CBSE
234,Student_234,10,CBSE
235,Student_235,9,SSC
236,Student_236,10,CBSE
237,Student_237,9,SSC
238,Student_238,9,CBSE
239,Student_239,9,SSC
240,Student_240,10,CBSE
241,Student_241,10,CBSE
242,Student_242,10,CBSE
